문헌번호,확인항목,상세,관련값
KR 10-2622454 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2622454 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 3개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=318
KR 10-2620634 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2620634 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 12개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=495
KR 10-2620718 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2620718 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 10개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=421
KR 10-2620312 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2620312 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 6개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=317
KR 10-2620762 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2620762 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 14개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=706
KR 10-2619870 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2619870 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 14개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=305
KR 10-2621619 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2621619 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 5개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=357
KR 10-2620544 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2620544 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 15개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=349
KR 10-2622258 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2622258 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 7개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=256
KR 10-2619880 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2619880 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 17개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=888
KR 10-2621696 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2621696 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 7개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=256
KR 10-2619608 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2619608 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 4개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=399
KR 10-2622086 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2622086 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 7개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=378
KR 10-2622706 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2622706 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 10개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=417
