문헌번호,오류유형,상세,관련값
KR 10-2650619 B1,E4 청구항수불일치(삭제제외 기준),claim_count 가 '삭제' 제외 실질 청구항 수와 다름 (차이 -2),claim_count=2 claims=6 삭제=2 실질=4
KR 10-2637846 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,JP 7329084 B2 / JP 07329084 B2
KR 10-2637073 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,EP 3704495 B1 / EP 03704495 B1
KR 10-2731002 B1,E13 패밀리중복,동일 문헌이 표기만 달라 2쌍 중복 적재,JP 7422826 B2 / EP 3963426 A2 / EP 03963426 A2 / JP 07422826 B2
KR 10-2692274 B1,E14 명칭전각표기,발명의 명칭에 전각 영숫자가 있어 반각 검색어와 매칭되지 않음,연료전지 시스템의 ＣＯＤ히터의 과열 방지 제어 방법
KR 10-2691029 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,US 09738977 B1 / US 9738977 B1
KR 10-2650796 B1,E13 패밀리중복,동일 문헌이 표기만 달라 3쌍 중복 적재,JP 6779878 B2 / JP 6637979 B2 / JP 6843944 B2 / JP 06779878 B2
KR 10-2624975 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,JP 7254609 B2 / JP 07254609 B2
KR 10-2665992 B1,E4 청구항수불일치(삭제제외 기준),claim_count 가 '삭제' 제외 실질 청구항 수와 다름 (차이 -8),claim_count=10 claims=20 삭제=2 실질=18
KR 10-2625665 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,EP 3787026 B1 / EP 03787026 B1
KR 10-2666155 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,EP 4009400 B1 / EP 04009400 B1
KR 10-2719936 B1,E13 패밀리중복,동일 문헌이 표기만 달라 3쌍 중복 적재,EP 2654302 A1 / EP 02654302 A1 / EP 3554078 A1 / EP 03554078 A1
KR 10-2637928 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,JP 7177249 B2 / JP 07177249 B2
KR 10-2625768 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,EP 4133958 A1 / EP 04133958 A1
KR 10-2639239 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,JP 5985878 B2 / JP 05985878 B2
KR 10-2705437 B1,E4 청구항수불일치(삭제제외 기준),claim_count 가 '삭제' 제외 실질 청구항 수와 다름 (차이 -2),claim_count=2 claims=4 삭제=0 실질=4
KR 10-2640186 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,JP 7282802 B2 / JP 07282802 B2
KR 10-2705608 B1,E13 패밀리중복,동일 문헌이 표기만 달라 3쌍 중복 적재,US 09520411 B2 / JP 6313357 B2 / JP 7149397 B2 / JP 06313357 B2
KR 10-2638748 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,EP 3641229 A1 / EP 03641229 A1
KR 10-2639295 B1,E13 패밀리중복,동일 문헌이 표기만 달라 2쌍 중복 적재,EP 3176219 B1 / EP 03176219 B1 / JP 6894216 B2 / JP 06894216 B2
KR 10-2639059 B1,E13 패밀리중복,동일 문헌이 표기만 달라 3쌍 중복 적재,EP 3559731 A1 / EP 03559731 A1 / JP 7039598 B2 / EP 3893041 A1
KR 10-2666137 B1,E4 청구항수불일치(삭제제외 기준),claim_count 가 '삭제' 제외 실질 청구항 수와 다름 (차이 -4),claim_count=10 claims=18 삭제=4 실질=14
KR 10-2666354 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,EP 3823177 A1 / EP 03823177 A1
KR 10-2718327 B1,E13 패밀리중복,동일 문헌이 표기만 달라 2쌍 중복 적재,EP 3974957 A1 / EP 03974957 A1 / EP 4258690 A3 / EP 04258690 A3
KR 10-2667030 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,EP 3913444 A1 / EP 03913444 A1
KR 10-2732145 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,JP 6703718 B2 / JP 06703718 B2
KR 10-2705399 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,EP 3700041 A1 / EP 03700041 A1
KR 10-2652603 B1,E4 청구항수불일치(삭제제외 기준),claim_count 가 '삭제' 제외 실질 청구항 수와 다름 (차이 -2),claim_count=10 claims=12 삭제=0 실질=12
KR 10-2704754 B1,E4 청구항수불일치(삭제제외 기준),claim_count 가 '삭제' 제외 실질 청구항 수와 다름 (차이 -1),claim_count=10 claims=15 삭제=4 실질=11
KR 10-2639340 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,EP 3971307 A1 / EP 03971307 A1
KR 10-2652004 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,EP 4261207 A1 / EP 04261207 A1
KR 10-2706431 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,EP 4177256 A1 / EP 04177256 A1
KR 10-2664599 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,JP 6436270 B1 / JP 06436270 B1
KR 10-2692564 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,EP 3627195 A1 / EP 03627195 A1
KR 10-2666491 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,EP 4000343 A1 / EP 04000343 A1
KR 10-2638661 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,EP 3928178 A1 / EP 03928178 A1
KR 10-2718756 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,EP 4386199 A2 / EP 04386199 A2
KR 10-2720190 B1,E9 섹션파싱누락,effect_of_invention 가 비었는데 전문에 해당 표제가 있음,표제 매칭='발명의\s*효과'
KR 10-2638806 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,EP 3144291 A1 / EP 03144291 A1
